Instance Name; Instance ID, AWS Region
SC-PROD-UE1-B_VideoWorker_i-621c7e01;i-621c7e01;
SC-STAGE-AN1-A_XMPWorker_i-02f5bd00;i-02f5bd00;
SC-PROD-UE1-B_ExportPDFWorker_i-545be537;i-545be537;
SC-LABS_ActionsWorker_i-81a698e9;i-81a698e9;
SC-STAGE-EW1-A_VideoWorker_i-dc424491;i-dc424491;
SC-DEV-QE1_CollageWorker_i-881e29e9;i-881e29e9;
SC-LABS_GraphiteJSONExtractionNGWorker_i-e472608e;i-e472608e;
SC-PROD-UE1-B_KulerWorker_i-62761501;i-62761501;
SC-PROD-UE1-B_CreatePDFWorker-DOC_i-2211874c;i-2211874c;
SC-PROD-EW1-B_PSLWorker_i-08d8f045;i-08d8f045;
SC-PROD-EW1-A_VideoWorker_i-22dccd6f;i-22dccd6f;
SC-PROD-UE1-B_CreatePDFWorker-EPT_i-7c351112;i-7c351112;
SC-STAGE-EW1-A_PSLWorker_i-04434549;i-04434549;
SC-STAGE-EW1-A_ServiceContainer_i-b5c92ef9;i-b5c92ef9;
SC-STAGE-EW1-A_ServiceContainer_i-d8001995;i-d8001995;
SC-PROD-UE1-B_ExportPDFWorker_i-c0e484a5;i-c0e484a5;
SC-STAGE-UE1-A_PSLWorker_i-6acbc100;i-6acbc100;
SC-PROD-EW1-A_PDFWorker_i-c68d9f8b;i-c68d9f8b;
SC-STAGE-UE1-A_ServiceContainer_i-b6901fda;i-b6901fda;
SC-PROD-EW1-B_XMPWorker_i-5e430913;i-5e430913;
SC-DEV-QE2_CombinePDFLinuxWorker_i-ab7675c9;i-ab7675c9;
SC-DEV-QE1_ComboIdeasLuckyWorker_i-d71b6db7;i-d71b6db7;
SC-STAGE-EW1-A_STDWorker_i-fe4147b3;i-fe4147b3;
SC-PROD-EW1-A_PSLWorker_i-d0041a9d;i-d0041a9d;
SC-PROD-UE1-B_CRWorker_i-2c68e44f;i-2c68e44f;
SC-STAGE-UE1-A_LocalGroverContainer_i-cf74e0a0;i-cf74e0a0;
SC-STAGE-UE1-A_CombinePDFLinuxWorker_i-7d707a1d;i-7d707a1d;
SC-PROD-EW1-B_VideoRightsWorker_i-60b4892d;i-60b4892d;
SC-STAGE-UE1-A_XMPWorker_i-2b944b44;i-2b944b44;
SC-PROD-UE1-B_ExportPDFWorker_i-187c537b;i-187c537b;
SC-LABS_PabloWorker_i-c870e3ad;i-c870e3ad;
SC-PROD-EW1-B_VideoWorker_i-64f7ce29;i-64f7ce29;
